,Harry_Potter,Draco_Malfoy,Hermione_Granger,Sirius_Black,Severus_Snape,Remus_Lupin,Newt_Scamander,James_Potter,Ginny_Weasley,Tom_Riddle,Lily_Evans_Potter,Original_Female_Character,Original_Percival_Graves,Ron_Weasley,Albus_Dumbledore,Gellert_Grindelwald,Voldemort,Scorpius_Malfoy,Luna_Lovegood,Albus_Severus_Potter,Reader,Lucius_Malfoy,Pansy_Parkinson,Credence_Barebone,Tina_Goldstein,Theseus_Scamander,Bellatrix_Black_Lestrange,Neville_Longbottom,Narcissa_Black_Malfoy,Charlie_Weasley,Regulus_Black,Fred_Weasley,Oliver_Wood,Nymphadora_Tonks,Blaise_Zabini,James_Sirius_Potter,Teddy_Lupin,Theodore_Nott,George_Weasley,Percy_Weasley,Original_Character,Original_Male_Character,Minerva_McGonagall,Fleur_Delacour,Marcus_Flint,Astoria_Greengrass,Bill_Weasley,Cedric_Diggory,Daphne_Greengrass,Rose_Weasley,Dean_Thomas,Seamus_Finnigan,Tony_Stark,Queenie_Goldstein,Arthur_Weasley,Viktor_Krum,Lavender_Brown,Leta_Lestrange,Lily_Luna_Potter,Andromeda_Black_Tonks,Molly_Weasley,Petunia_Evans_Dursley,Steve_Rogers,Jacob_Kowalski,Cho_Chang,Rodolphus_Lestrange,James_Bucky_Barnes,Loki_,Victoire_Weasley,Marlene_McKinnon,Parvati_Patil,Player_Character_(Hogwarts_Mystery),Sherlock_Holmes,Fenrir_Greyback,Salazar_Slytherin,Kingsley_Shacklebolt,Other,Ted_Tonks,Angelina_Johnson,Dudley_Dursley,Bartemius_Crouch_Jr.,Hannah_Abbott,Millicent_Bulstrode,Vernon_Dursley,Cormac_McLaggen,Katie_Bell,Lily_Evans,Abraxas_Malfoy,John_Watson,Dean_Winchester,Rubeus_Hagrid,Percival_Graves_|_Gellert_Grindelwald,Nagini,Alice_Longbottom,Padma_Patil,Crowley_
Harry_Potter,2,9083,850,186,1622,47,1,24,1024,1112,20,79,8,240,51,5,782,16,167,10,21,71,93,1,0,1,8,79,12,66,21,15,13,22,90,2,39,54,37,10,36,60,12,34,14,6,14,95,77,5,5,3,39,0,7,12,5,0,12,3,7,15,14,0,18,5,14,32,2,0,6,0,4,26,10,5,30,0,1,31,7,1,4,11,6,6,0,1,1,9,12,0,1,0,2,1
Draco_Malfoy,9083,0,2658,8,63,5,0,4,146,11,0,136,0,161,0,1,5,15,98,25,115,25,53,0,0,0,4,80,18,51,2,1,0,2,29,18,3,29,4,6,13,19,0,2,7,157,1,5,4,3,2,3,0,0,2,10,2,0,4,0,0,0,3,0,1,0,4,4,0,0,0,0,1,7,0,1,18,0,0,0,0,1,3,0,6,0,0,0,0,0,1,0,0,0,0,0
Hermione_Granger,850,2658,2,175,875,88,5,32,78,359,2,15,0,602,1,3,64,3,89,0,4,147,199,0,0,0,314,48,87,90,21,191,18,11,35,0,4,92,41,20,6,10,39,76,16,4,34,23,13,0,2,6,28,0,7,77,10,0,0,4,0,0,37,0,7,8,31,24,0,0,1,0,17,21,2,8,0,0,1,2,5,0,5,0,20,0,0,7,3,14,3,0,0,0,11,1
Sirius_Black,186,8,175,0,138,3142,0,268,9,3,33,126,0,1,0,0,0,0,3,0,5,25,2,0,0,0,14,0,11,4,119,0,0,3,0,1,3,0,0,0,25,4,12,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,2,4,0,0,0,3,2,0,0,50,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0
Severus_Snape,1622,63,875,138,0,182,0,104,13,21,232,193,0,17,37,7,26,0,12,0,3,97,1,0,0,0,4,12,21,3,29,0,0,7,0,0,1,0,0,1,23,9,53,1,0,0,5,1,1,0,0,0,0,0,17,0,0,0,3,4,1,15,0,0,0,1,0,2,0,0,0,0,1,1,4,40,15,0,0,2,1,0,1,1,0,0,12,0,0,0,9,0,0,1,0,0
Remus_Lupin,47,5,88,3142,182,0,0,21,3,0,20,62,0,1,1,0,0,0,3,0,2,13,0,0,0,0,3,7,9,0,17,0,0,218,0,2,3,0,0,0,3,5,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,0,1,1,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
Newt_Scamander,1,0,5,0,0,0,0,0,0,2,0,16,556,1,59,64,0,0,1,0,58,0,0,93,576,454,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,45,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
James_Potter,24,4,32,268,104,21,0,0,1,4,1330,23,0,0,0,0,3,0,0,0,11,9,0,0,0,0,2,0,3,0,43,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
Ginny_Weasley,1024,146,78,9,13,3,0,1,0,27,0,4,0,19,0,0,1,1,265,0,2,9,84,0,0,0,0,20,1,1,0,1,2,7,33,0,0,7,2,5,1,1,0,8,0,6,2,0,1,0,4,0,2,1,5,2,4,0,2,0,1,0,1,0,15,0,1,2,0,0,1,0,0,0,1,0,0,0,2,1,0,0,6,0,0,1,0,0,0,0,0,0,1,0,1,0
Tom_Riddle,1112,11,359,3,21,0,2,4,27,1,3,78,0,3,8,3,5,0,10,0,15,4,3,1,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,1,6,7,6,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,37,0,1,3,0,2,0,1,0
